compilador_flag,photons,time,pus,ins,ius
gcc_O1,65536, 0.176245, 0.371845, 1130898538, 6416.610199
gcc_O1,65536, 0.176777, 0.370726, 1130911250, 6397.372147
gcc_O1,65536, 0.176458, 0.371397, 1130543428, 6406.864045
gcc_O1,65536, 0.177675, 0.368854, 1130575150, 6363.172339
gcc_O1,65536, 0.176512, 0.371283, 1130560884, 6404.994011
gcc_O1,65536, 0.176528, 0.371250, 1130580599, 6404.539784
gcc_O1,65536, 0.176523, 0.371260, 1130565833, 6404.637108
gcc_O1,65536, 0.176723, 0.370841, 1130573876, 6397.448227
gcc_O1,65536, 0.176823, 0.370631, 1130653878, 6394.280063
gcc_O1,65536, 0.177298, 0.369637, 1130645980, 6377.091230
gcc_O1,65536, 0.176510, 0.371288, 1130633582, 6405.489987
gcc_O1,65536, 0.176543, 0.371219, 1130644561, 6404.367936
gcc_O1,65536, 0.176526, 0.371255, 1130644772, 6404.983680
gcc_O1,65536, 0.177795, 0.368604, 1130682629, 6359.471461
gcc_O1,65536, 0.177915, 0.368357, 1130906383, 6356.457531
gcc_O1,65536, 0.180081, 0.363925, 1130951841, 6280.243651
gcc_O1,65536, 0.177659, 0.368887, 1130950716, 6365.853004
gcc_O1,65536, 0.177841, 0.368510, 1130960755, 6359.404202
gcc_O1,65536, 0.177612, 0.368983, 1130951629, 6367.523831
gcc_O1,65536, 0.178801, 0.366531, 1130408555, 6322.163922
gcc_O1,65536, 0.177622, 0.368964, 1130382984, 6363.993657
gcc_O1,65536, 0.177548, 0.369117, 1130388691, 6366.656732
gcc_O1,65536, 0.179695, 0.364707, 1130430308, 6290.831547
gcc_O1,65536, 0.178735, 0.366666, 1130417722, 6324.552718
gcc_O1,65536, 0.183016, 0.358089, 1130437718, 6176.721560
gcc_O1,65536, 0.176492, 0.371326, 1130630587, 6406.129237
gcc_O1,65536, 0.176395, 0.371530, 1130643891, 6409.739250
gcc_O1,65536, 0.177264, 0.369709, 1130666024, 6378.432890
gcc_O1,65536, 0.178355, 0.367448, 1130689281, 6339.554484
gcc_O1,65536, 0.176315, 0.371699, 1130674539, 6412.813719
gcc_O1,65536, 0.176488, 0.371335, 1130472705, 6405.395168
gcc_O1,65536, 0.176495, 0.371318, 1130437590, 6404.910737
gcc_O1,65536, 0.178402, 0.367351, 1130461486, 6336.602949
gcc_O1,65536, 0.176489, 0.371332, 1130439072, 6405.146133
gcc_O1,65536, 0.176116, 0.372119, 1130451154, 6418.804194
gcc_O1,65536, 0.177721, 0.368757, 1130511173, 6361.141981
gcc_O1,65536, 0.176456, 0.371402, 1130144624, 6404.687259
